description,image_url1,product_name
"
						The Bad Cuz, has everything our Good Cuz has including a natural rubber ball with feet and the ingenious squeaker designed so it won’t fall out. In addition, the Bad Cuz has a pair of devilish horns, a formidable bounce and a terrific personality.						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21635-1369953532.jpg, Bad Cuz Small
"
",http://www.anipet.com/product-1.php?item=prod_images/21605-1369953714.jpg, Big Mouth Ring Single Large
"
",http://www.anipet.com/product-1.php?item=prod_images/21604-1369953822.jpg, Big Mouth Ring Triple Small
"
",http://www.anipet.com/product-1.php?item=prod_images/21604-1369953919.jpg, Big Mouth Rings Triple Large
"
						The Good Cuz is an ingeniously designed, durable natural rubber ball with feet. But that’s not the only inventive thing about it. The squeaker that’s built into the Good Cuz is designed so it won’t fall out. As part of our iconic top-selling Cuz line of toys, the Good Cuz will become your dog’s new best friend. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21636-1369953349.jpg, Good Cuz Small
"
						No seams and no glue mean the Invincible Chains will stand up to the toughest tuggers and chewers like no other dog toy. It’s made possible by our patented process, in which we actually mold the rings together. As we always say, intelligent ideas make happy pets. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21632-1369954188.jpg, Invincible Chains Mini
"
						No seams and no glue mean the Invincible Chains will stand up to the toughest tuggers and chewers like no other dog toy. It’s made possible by our patented process, in which we actually mold the rings together. As we always say, intelligent ideas make happy pets. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21634-1369954298.jpg, Invincible Chains Triple Large
"
						No seams and no glue mean the Invincible Chains will stand up to the toughest tuggers and chewers like no other dog toy. It’s made possible by our patented process, in which we actually mold the rings together. As we always say, intelligent ideas make happy pets. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21633-1369954425.jpg, Invincible Chains Triple Small
"
						This totally cool, floating retriever toy also performs well in field use. Dogs love Cool Kong all year round! 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/27223.jpg,Aqua Kong - Orange/White - Medium
"
						The Bad Cuz, has everything our Good Cuz has including a natural rubber ball with feet and the ingenious squeaker designed so it won’t fall out. In addition, the Bad Cuz has a pair of devilish horns, a formidable bounce and a terrific personality. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21641-1370019218.jpg,Bad Cuz Large
