"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Product Image ID - 8","Product Image File - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Sort - 8","Product Image ID - 9","Product Image File - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Sort - 9","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Show Product Condition?","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Avalara Product Tax Code"
Product,1865,"Play Together, Stay Together - Happy and Healthy Play Between People and Dogs (1007)",P,1007,,"McConnell Publishing",,Right,,12.95,7.77,0.00,12.95,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",0,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/play-together-stay-together-happy-and-healthy-play-between-people-and-dogs-1007/,,,,,,,,,,,,N,
Product,1866,"Don't Shoot the Dog (1006)",P,1006,,"Bantam Publishing",,Right,,17.00,13.60,0.00,17.00,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",1,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/dont-shoot-the-dog-1006/,,,,,,,,,,,,N,
Product,1867,"i-Click Clicker (1009)",P,1009,,"Karen Pryor",,Right,,1.85,1.25,0.00,1.85,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",12,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/i-click-clicker-1009/,,,,,,,,,,,,N,
Product,1868,"Play With Your Dog (1008)",P,1008,,Dogwise,,Right,,14.95,8.97,0.00,14.95,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",0,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/play-with-your-dog-1008/,,,,,,,,,,,,N,
Product,1869,"On Talking Terms with Dogs: Calming Signals - Second Edition (1005)",P,1005,,Dogwise,,Right,,12.95,7.77,0.00,12.95,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",0,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/on-talking-terms-with-dogs-calming-signals-second-edition-1005/,,,,,,,,,,,,N,
Product,1870,"Feisty Fido - Help For the Leash-Reactive Dog - Second Edition",P,1002,,"McConnell Publishing",,Right,,9.95,5.97,0.00,9.95,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",1,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/feisty-fido-help-for-the-leash-reactive-dog-second-edition/,,,,,,,,,,,,N,
Product,1871,"Quick & Easy Crate Training",P,1001,,"TFH Publications",,Right,,4.95,3.96,0.00,4.95,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",1,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/quick-easy-crate-training/,,,,,,,,,,,,N,
Product,1872,"The Cautious Canine - How to Help Dogs Conquer Their Fears (1004)",P,1004,,"McConnell Publishing",,Right,,6.95,4.17,0.00,6.95,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",0,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/the-cautious-canine-how-to-help-dogs-conquer-their-fears-1004/,,,,,,,,,,,,N,
Product,1873,"I'll Be Home Soon! - How to Prevent and Treat Separation Anxiety",P,1003,,"McConnell Publishing",,Right,,7.95,4.77,0.00,7.95,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",0,0,"Dog/Training & Behaviour/Books;Dog/All Things Puppy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/ill-be-home-soon-how-to-prevent-and-treat-separation-anxiety/,,,,,,,,,,,,N,
Product,1874,"Feline Omega-3 (1016)",P,1016,,Ascenta,,Right,,16.99,9.59,0.00,16.99,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",1,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/feline-omega-3-1016/,,,,,,,,,,,,N,
Product,1875,"Canine Omega-3 (1015)",P,1015,,Ascenta,,Right,,21.95,12.49,0.00,21.95,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",2,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/canine-omega-3-1015/,,,,,,,,,,,,N,
